ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Borough,Country,Timezone,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Bump,Give_Way,Stop,Amenity,Junction,Station,Railway,No_Exit,Crossing,Roundabout,Turning_Loop,Traffic_Calming,Traffic_Signal,Civil_Twilight
A-1700,2,2020/11/2 3:36,2020/11/2 6:27,29.585397,-95.456257,0.055,Incident on LAZY RIDGE DR near PORTER RIDGE DR Drive with caution.,nan,Lazy Ridge Rd,R,Houston,Fort Bend,TX,77053,Southwest?,US,US/Central,46,46,99,30.36,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
A-1895,2,2020/12/25 1:56,2020/12/25 4:14,29.74227,-95.576269,0.075,Incident on HAYES RD near OLYMPIA DR Drive with caution.,2204, Hayes Rd,L,Houston,Harris,TX,77077,Southwest,US,US/Central,40,36,58,30.18,10,WSW,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
A-2001,3,2020/4/29 7:37,2020/4/29 8:37,29.77019,-95.34862,0,Ramp to I-10/East Fwy Westbound - Accident. Three lanes blocked.,nan,I-10 W,R,Houston,Harris,TX,77020,Inner Loop,US,US/Central,63,63,90,29.96,10,S,16,0.01,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-2059,2,2020/12/25 16:41,2020/12/25 19:20,29.611758,-95.277693,0.035,Incident on FUQUA ST near BALLANTINE ST Drive with caution.,7999, Fuqua St,L,Houston,Harris,TX,77075-3738,Southeast,US,US/Central,63,63,26,30.19,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-2130,2,2020/10/22 11:41,2020/10/22 15:11,29.883055,-95.408558,0.087,Incident on SWEETWATER LN near W MITCHELL RD Drive with caution.,8380, Sweetwater Ln,R,Houston,Harris,TX,77037-3616,Northeast,US,US/Central,82,82,69,29.88,10,E,6,0,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-2216,2,2020/12/18 7:34,2020/12/18 8:49,29.738134,-95.265165,0.276,Incident on I-610 NB near CLINTON DR Three lanes blocked. Expect delays.,nan,I-610 N,R,Houston,Harris,TX,77029,Southeast,US,US/Central,48,44,86,30.21,10,ENE,8,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-2494,2,2020/10/17 17:29,2020/10/17 18:09,29.879497,-95.548728,1.249,Stationary traffic from US-290 (Sam Houston Tollway) to West Rd (Sam Houston Tollway) due to accident.,nan,W Sam Houston Tollway N,R,Houston,Harris,TX,77040,Northwest,US,US/Central,78,78,71,29.84,10,SE,6,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-2800,2,2020/12/8 4:18,2020/12/8 6:57,29.83249,-95.469137,0.043,Incident on W 43RD ST near COSTA RICA RD Drive with caution.,5258, W 43rd St,R,Houston,Harris,TX,77092-5251,Northwest,US,US/Central,44,44,79,30.17,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
A-2805,2,00:40.0,24:40.0,29.699891,-95.571263,0.054,Incident on WILCREST DR near STROUD DR Drive with caution.,7100, Wilcrest Dr,R,Houston,Harris,TX,77072-2617,Southwest,US,US/Central,82,82,41,30.05,10,NNE,8,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Day
A-2860,2,2020/5/27 18:37,2020/5/27 19:22,29.86727,-95.56427,0,Accident on TX-8-BELTWAY Sam Houston Pkwy at Little York Rd.,nan,W Little York Rd,R,Houston,Harris,TX,77041,Northwest,US,US/Central,67,67,81,29.72,10,SE,10,0.01,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
A-2998,2,2020/11/2 18:29,2020/11/2 20:06,29.747137,-95.348624,0.061,Incident on MCKINNEY ST near ENNIS ST Drive with caution.,998, Paige St,R,Houston,Harris,TX,77003-3711,Inner Loop,US,US/Central,66,66,32,30.32,10,ENE,5,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
A-3188,2,2020/11/19 3:00,2020/11/19 4:36,29.714327,-95.398741,0.043,Incident on MAIN ST near ALUMNI DR Drive with caution.,6398, Main St,R,Houston,Harris,TX,77005-1843,Inner Loop,US,US/Central,60,60,90,30.25,10,ENE,3,0,Shallow Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Night
A-3419,3,2020/1/9 8:33,2020/1/9 9:02,29.78513,-95.705688,0,Right lane blocked and right hand shoulder blocked due to accident on I-10 Eastbound at Greenhouse rd.,nan,Katy Tollway,R,Houston,Harris,TX,77094,Southwest,US,US/Central,68,68,87,29.99,10,SSE,9,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-3735,2,2020/1/30 16:54,2020/1/30 18:24,29.75746,-95.39225,0,Accident on Montrose Blvd at Dallas St.,nan,W Dallas St,R,Houston,Harris,TX,77019,Inner Loop,US,US/Central,56,56,75,29.97,10,NNE,6,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Day
A-3905,4,2020/10/12 7:16,2020/10/12 8:00,29.737871,-95.351547,2.130000114,Three lanes blocked and left hand shoulder blocked due to accident on I-45 Gulf Fwy Northbound from Lockwood dr to Scott st.,nan,I-45 S,R,Houston,Harris,TX,77004,Inner Loop,US,US/Central,76,76,94,29.86,2,SW,8,0,Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-4242,2,2020/11/15 11:30,2020/11/15 19:24,29.679101,-95.393817,0.016,Incident on ALMEDA RD near MANSARD ST Drive with caution.,8672, Almeda Rd,R,Houston,Harris,TX,77054-4614,Inner Loop,US,US/Central,75,75,18,30.13,10,NNE,18,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-4318,2,2020/2/10 10:32,2020/2/10 11:02,29.798285,-95.360977,0,Accident on Patton St at Irvington Blvd.,4098,Irvington Blvd,L,Houston,Harris,TX,77009-4057,Inner Loop,US,US/Central,77,77,71,29.94,7,S,9,0,Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-4938,2,2020/12/18 13:42,2020/12/18 23:04,29.739745,-95.477136,0.122,Slow traffic on FM-1093 from Wickersham Ln to Bering Dr due to accident.,2500, Chimney Rock Rd,R,Houston,Harris,TX,77056-4020,Southwest,US,US/Central,64,64,65,30.16,10,SE,16,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-5055,2,2020/12/17 12:47,2020/12/17 15:47,29.723905,-95.489102,0.018,Incident on WESTPARK DR near RAMPART ST Drive with caution.,5301, Rampart St,L,Houston,Harris,TX,77057,Southwest,US,US/Central,54,54,45,30.26,10,SE,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
A-5386,2,2020/8/13 11:53,2020/8/13 12:23,29.65799,-95.276711,0,Accident on Airport Blvd at Broadway St.,nan,Airport Blvd,R,Houston,Harris,TX,77061,Southeast,US,US/Central,92,92,50,29.95,10,SW,8,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
A-5689,3,2020/5/10 15:46,2020/5/10 16:46,29.772137,-95.365829,0,Left centre lane blocked due to accident on I-10 Eastbound at Exits 768A 768B 769A I-45 Exits 48A 48B.,nan,I-10 W,R,Houston,Harris,TX,77002,Inner Loop,US,US/Central,80,80,38,30.09,10,E,7,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-5935,3,2020/5/8 18:45,2020/5/8 19:30,29.68827,-95.53092,0,At Bissonnet St - Accident. Hard shoulder blocked.,nan,S Gessner Rd,R,Houston,Harris,TX,77036,Southwest,US,US/Central,74,74,62,29.92,10,NNE,20,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
A-6739,2,2020/1/23 12:21,2020/1/23 15:33,29.939461,-95.345596,0,Accident on Sam Houston Pkwy at Morales Rd.,2753,N Sam Houston Pkwy E,L,Houston,Harris,TX,77032-3215,Northeast,US,US/Central,61,61,75,29.85,10,NNW,14,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-7278,2,2020/6/22 9:25,2020/6/22 9:56,29.961283,-95.547218,0,Accident on Cypress Creek Pkwy at Tomball Pkwy.,nan,FM 1960 Rd W,R,Houston,Harris,TX,77070,Northwest,US,US/Central,80,80,87,29.8,2,NNE,6,0.02,Light Rain with Thunder,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Day
A-7429,2,2020/9/15 23:20,2020/9/16 0:42,29.688453,-95.418954,0.073,Incident on MAIN ST near MCNEE RD Drive with caution.,8941, Main St,L,Houston,Harris,TX,77025-2706,Inner Loop,US,US/Central,87,87,57,29.87,10,NE,10,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
A-7709,2,2020/11/20 18:37,2020/11/20 19:36,29.9534,-95.53804,0,Right and center lane blocked due to accident on State Highway 249 Northbound at Greens Rd.,nan,TX-249 N,R,Houston,Harris,TX,77064,Northwest,US,US/Central,69,69,81,30.11,10,ESE,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
A-7939,2,2020/11/22 1:27,2020/11/22 3:45,29.761067,-95.383531,0.026,Incident on ALLEN PKY near GILLETTE ST Drive with caution.,1643, Allen Pkwy,R,Houston,Harris,TX,77019-2803,Inner Loop,US,US/Central,67,67,81,30.11,10,CALM,0,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Night
A-7996,2,2020/11/9 7:51,2020/11/9 12:36,29.68454,-95.513048,0.036,Incident on BISSONNET ST near BONHOMME RD Drive with caution.,8601, Bonhomme Rd,L,Houston,Harris,TX,77074-6613,Southwest,US,US/Central,77,77,79,29.94,10,SE,10,0,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Day
A-8136,2,2020/11/16 0:21,2020/11/16 2:39,29.686477,-95.565911,0.117,Incident on CINNAMON LN near SPICE LN Drive with caution.,10559, Spice Ln,R,Houston,Harris,TX,77072-4406,Southwest,US,US/Central,52,52,50,30.17,10,NNE,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
A-8315,2,2020/4/7 10:00,2020/4/7 11:17,29.818159,-95.38504,0,Accident on Omega St at 35th St.,1200,E 35th St,R,Houston,Harris,TX,77022-5218,Northeast,US,US/Central,78,78,81,29.96,10,SSW,7,0,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-8607,3,2020/10/9 11:01,2020/10/9 16:17,29.775478,-95.262749,0,Two lanes blocked and left hand shoulder blocked due to accident on I-10 Westbound at I-610 .,nan,I-10 E,R,Houston,Harris,TX,77029,Southeast,US,US/Central,76,76,87,29.68,6,NNE,18,0.05,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-8711,2,35:36.0,08:11.0,29.865665,-95.488652,0.112,Stationary traffic from Pine Burr Ln to Tall Willow Dr due to accident.,nan,W Little York Rd,R,Houston,Harris,TX,77040,Northwest,US,US/Central,54,54,90,29.96,2,SE,3,0,Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
A-8779,2,2020/9/24 7:17,2020/9/24 10:35,29.796967,-95.320518,0.106,Incident on CRANE ST near PICKFAIR ST Drive with caution.,4998, Crane St,R,Houston,Harris,TX,77026-3904,Inner Loop,US,US/Central,70,70,87,29.83,10,N,5,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-9355,2,2020/5/29 6:25,2020/5/29 6:55,29.755373,-95.145981,0,Right and center lane blocked due to accident on TX-8-BELTWAY Sam Houston Pkwy Southbound at Beltway 8.,nan,E Sam Houston Tollway N,R,Houston,Harris,TX,77015,Northeast,US,US/Central,71,71,93,29.97,10,NNW,7,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-9580,2,2020/12/31 8:02,2020/12/31 14:56,29.692199,-95.283811,0.017,Incident on AUBURN ST near GULF FWY Drive with caution.,3399, Auburn St,L,Houston,Harris,TX,77017-1503,Southeast,US,US/Central,70,70,84,29.64,10,ESE,15,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-10115,2,2020/11/24 0:06,2020/11/24 4:30,29.615979,-95.283174,0.081,Incident on PEEKSKILL LN near GULF MEADOWS DR Drive with caution.,7717, Folkstone Ln,L,Houston,Harris,TX,77075-2903,Southeast,US,US/Central,63,63,90,30.03,10,SE,5,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
A-10520,3,2020/6/11 15:50,2020/6/11 16:35,29.6009,-95.22253,0,At I-45 - Accident. Hard shoulder blocked.,nan,S Sam Houston Tollway E,R,Houston,Harris,TX,77089,Southeast,US,US/Central,88,88,31,30.13,10,N,12,nan,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-10900,2,50:11.0,47:11.0,29.812032,-95.403783,0.136,Incident on W 28TH ST near NICHOLSON ST Drive with caution.,400, W 28th St,L,Houston,Harris,TX,77008-2015,Inner Loop,US,US/Central,74,74,87,29.86,10,SE,6,0,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
A-10984,2,2020/8/6 11:42,2020/8/6 12:43,29.691271,-95.353691,0,Lane blocked due to accident on Yellowstone Blvd at Eastwood St.,4318,Yellowstone Blvd,R,Houston,Harris,TX,77021-4146,Inner Loop,US,US/Central,90,90,57,29.97,10,S,5,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-11278,2,2020/6/8 10:11,2020/6/8 11:25,29.60071,-95.317734,0,Accident on TX-8-BELTWAY Sam Houston Pkwy Eastbound at Wayside Dr.,nan,S Wayside Dr,R,Houston,Harris,TX,77048,Southeast,US,US/Central,88,88,59,29.63,10,WSW,14,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-11798,2,2020/2/28 7:48,2020/2/28 9:44,29.688219,-95.496857,0,Accident on Braewick Dr at Beechnut St.,8400,Braewick Dr,R,Houston,Harris,TX,77074,Southwest,US,US/Central,45,41,71,30.32,10,W,7,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-11810,3,2020/5/14 6:52,2020/5/14 7:21,29.813824,-95.392929,0,Right hand shoulder blocked due to accident on I-610 Northbound at Main st.,nan,I-610 E,R,Houston,Harris,TX,77008,Inner Loop,US,US/Central,77,77,88,29.89,7,S,7,0,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-11832,2,2020/12/8 16:33,2020/12/8 19:12,29.736204,-95.38788,0.059,Incident on GREELEY ST near W MAIN ST Drive with caution.,4098, Greeley St,R,Houston,Harris,TX,77006-5651,Inner Loop,US,US/Central,70,70,27,30.12,10,WSW,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-12415,2,2020/10/9 7:22,2020/10/9 8:04,29.717825,-95.510887,0,Accident on Bintliff Dr at Harwin Dr.,nan,Harwin Dr,R,Houston,Harris,TX,77036,Southwest,US,US/Central,75,75,90,29.72,10,NE,17,0.03,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
A-12461,2,2020/9/19 14:22,2020/9/19 18:00,29.59629,-95.110577,0.048,Incident on MILL POINT DR near ROYALFIELD DR Drive with caution.,16398, Hickory Knoll Dr,R,Houston,Harris,TX,77059-5311,Southeast,US,US/Central,82,82,54,29.89,10,NNE,14,nan,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-12638,3,2020/9/16 17:42,2020/9/16 18:56,29.753798,-95.264977,0,Left lane blocked due to accident on I-610 Southbound before Turning Basin Dr.,nan,I-610 N,R,Houston,Harris,TX,77029,Southeast,US,US/Central,92,92,45,29.79,10,N,9,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-12813,2,2020/10/19 9:08,2020/10/19 10:23,29.813175,-95.396178,0.945,Incident on I-610 EB near N MAIN ST Expect long delays.,nan,I-610 E,R,Houston,Harris,TX,77008,Inner Loop,US,US/Central,79,79,88,29.98,8,SE,9,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
A-12869,2,2020/7/8 5:12,2020/7/8 6:13,29.762171,-95.36837,0,Accident on Capitol St at Bagby St.,728,Bagby St,R,Houston,Harris,TX,77002,Inner Loop,US,US/Central,82,82,88,29.87,8,S,7,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Night
A-13097,2,2020/11/20 23:57,2020/11/21 4:42,29.858204,-95.349906,0.085,Incident on ALDINE WESTFIELD RD near WELLINGTON ST Drive with caution.,10098, Aldine Westfield Rd,L,Houston,Harris,TX,77093-5447,Northeast,US,US/Central,63,63,97,30.17,10,E,6,0,Shallow Fog,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Night
A-13433,2,2020/12/20 22:50,2020/12/21 0:47,29.731053,-95.589176,0.009,Incident on S KIRKWOOD RD near RICHMOND AVE Drive with caution.,nan,Richmond Ave,R,Houston,Harris,TX,77082,Southwest?,US,US/Central,48,48,93,30.05,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Night
